DENOM_CIA;CD_CVM
MONTE RODOVIAS S.A.;26328
RIO ALTO ENERGIAS RENOVÁVEIS S.A.;25720
INFRACOMMERCE CXAAS S.A.;25747
CENCOSUD BRASIL COMERCIAL S.A.;26530
COMPANHIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G;27154
HMOBI PARTICIPAÇÕES S.A.;25674
SOLVI ESSENCIS AMBIENTAL S.A.;27073
TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.;26000
RIO ALTO STL HOLDING I S.A.;27006
SOLAR BEBIDAS S.A.;27014
CANTU STORE S.A.;26646
RODOVIAS DO BRASIL HOLDING S.A.;26352
BRASKEM S.A.;4820
LOG-IN LOGISTICA INTERMODAL S.A.;20710
WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;23590
EMBPAR PARTICIPAÇÕES S/A;15458
SERENA ENERGIA S.A.;26441
INTER & CO, INC.;80217
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058
EVEN CONSTRUTORA E INCORPORADORA S.A.;20524
AUTOMOB S.A.;27413
CLI SUL S.A.;27243
CIA SANEAMENTO BASICO EST SAO PAULO;14443
LUPO S.A.;26506
C&A MODAS S.A.;24848
VITTIA S.A.;25763
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;20346
UNIDAS LOCADORA S.A.;27162
BAHEMA EDUCAÇÃO S.A.;701
CIA BRASILEIRA DE DISTRIBUICAO;14826
MAGAZINE LUIZA S.A.;22470
HELBOR EMPREENDIMENTOS S.A.;20877
VESTE S.A. ESTILO;21440
BOMBRIL S.A.;12190
COSAN S.A.;19836
VULCABRAS S.A.;11762
NUTRIPLANT INDUSTRIA E COMERCIO S.A.;21334
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A;20494
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;13471
JSL S.A.;22020
TOTVS S.A.;19992
EUCATEX S.A. INDUSTRIA E COMERCIO;5770
ROMI S.A.;7510
ODONTOPREV S.A.;20125
BLAU FARMACÊUTICA S.A.;24627
WHIRLPOOL S.A.;14346
BCO PAN S.A.;21199
TRACK & FIELD CO S.A.;25208
GRUPO MULTI S.A.;26034
RODOBENS SA;25801
PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;9393
MAHLE-METAL LEVE S.A.;8575
ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;24953
IGUATEMI S.A.;8672
SUZANO HOLDING S.A.;9067
UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S.A.;26867
CIA MELHORAMENTOS DE SAO PAULO;3654
BCO BRADESCO S.A.;906
FLEURY S.A.;21881
BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL;1520
ITAU UNIBANCO HOLDING S.A.;19348
USINAS SID DE MINAS GERAIS S.A.-USIMINAS;14320
CESP - CIA ENERGETICA DE SAO PAULO;2577
CONSTRUTORA ADOLPHO LINDENBERG S.A.;4723
MANGELS INDUSTRIAL S.A.;8397
ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;16306
ALPARGATAS S.A.;10456
COBRASMA S.A.;4448
MANUFATURA DE BRINQUEDOS ESTRELA S.A.;8427
CAMBUCI S.A.;2100
ETERNIT S.A. - EM RECUPERAÇÃO JUDICIAL;5762
IOCHPE MAXION S.A.;11932
SIDERURGICA J. L. ALIPERTI S.A.;12823
BANCO BMG S/A;24600
EUROFARMA LABORATÓRIOS S.A.;26700
AZEVEDO E TRAVASSOS S.A.;11975
BAUMER S.A.;1562
COMPANHIA BRASILEIRA DE ALUMÍNIO;25984
DIAGNOSTICOS DA AMERICA S.A.;19623
ITAÚSA S.A.;7617
REDE ENERGIA PARTICIPAÇÕES S.A.;3190
RAIA DROGASIL S.A.;5258
BCO PINE S.A;20567
BCO DAYCOVAL S.A.;20796
INTERCEMENT BRASIL S.A.;25992
BANCO RCI BRASIL S.A.;21466
CRUZEIRO DO SUL EDUCACIONAL S.A.;25526
CAMIL ALIMENTOS S.A.;24228
RNI NEGÓCIOS IMOBILIÁRIOS S.A.;20451
VIVER INCORPORADORA E CONSTRUTORA S.A.;20702
MINERVA S.A.;20931
CLARANET TECHNOLOGY S.A.;26549
ALGAR TELECOM S/A;21032
CONSTRUTORA TENDA S.A.;21148
NATURA COSMETICOS S.A.;19550
CYRELA BRAZIL REALTY S.A.EMPREEND E PART;14460
ATACADÃO S.A.;24171
UNIDAS LOCAÇÕES E SERVIÇOS S.A.;23280
CIA PARANAENSE DE ENERGIA - COPEL;14311
OI S.A. - EM RECUPERAÇÃO JUDICIAL;11312
INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;7595
FARMÁCIA E DROGARIA NISSEI S.A.;25429
SENIOR SISTEMAS S.A.;26786
DESCARBONIZE SOLUÇÕES S.A.;27278
POSITIVO TECNOLOGIA S.A.;20362
GRANJA FARIA S.A.;27219
ALMEIDA JUNIOR SHOPPING CENTERS S.A.;26395
TEKA-TECELAGEM KUEHNRICH S.A. - EM RECUPERAÇÃO JUDICIAL;11223
KARSTEN S.A.;4146
ELECTRO ACO ALTONA S.A.;5380
INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA;25453
CIA INDUSTRIAL SCHLOSSER S.A.;3549
TEXTIL RENAUXVIEW S.A.;7544
PBG S/A;13773
CENTRAIS ELET DE SANTA CATARINA S.A.;2461
WEG S.A.;5410
TUPY S.A.;6343
WETZEL S.A.;11991
TIGRE S.A. PARTICIPAÇÕES;26255
SCHULZ S.A.;14664
METALURGICA RIOSULENSE S.A.;13439
METISA METALURGICA TIMBOENSE S.A.;8753
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;13285
CIA HABITASUL DE PARTICIPACOES;3298
BORRACHAS VIPAL S.A.;26980
FRAS-LE S.A.;6211
MUNDIAL S.A. - PRODUTOS DE CONSUMO;5312
MARCOPOLO S.A.;8451
PETTENATI S.A. INDUSTRIA TEXTIL;9539
RANDON S.A. IMPLEMENTOS E PARTICIPACOES;14109
SLC AGRICOLA S.A.;20745
LUPATECH S.A;20060
KLABIN S.A.;12653
GRENDENE S.A.;19615
MINUPAR PARTICIPACOES S.A.;13765
BCO SANTANDER (BRASIL) S.A.;20532
UNICASA INDÚSTRIA DE MÓVEIS S.A.;22780
RECRUSUL S.A.;12572
KEPLER WEBER S.A.;7870
GRAZZIOTIN S.A.;4537
TREVISA INVESTIMENTOS S.A.;8192
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;9342
METALURGICA GERDAU S.A.;8656
PANATLANTICA S.A.;94
BCO ESTADO DO RIO GRANDE DO SUL S.A.;1210
CPFL TRANSMISSÃO S.A.;3204
LOJAS RENNER S.A.;8133
TAURUS ARMAS S.A.;6173
IRANI PAPEL E EMBALAGEM S.A.;2429
TRÊS TENTOS AGROINDUSTRIAL S/A;25950
PACAEMBU CONSTRUTORA S.A.;25143
LOJAS QUERO QUERO S.A.;25038
CONSERVAS ODERICH S.A.;4693
DEXCO S.A.;21091
