DENOM_CIA;CD_CVM
CETIP S.A. - BALCÃO ORGANIZADO DE ATIVOS E DERIVATIVOS;21792
BASEL PARTICIPAÇÕES S/A;21601
PRÁTICA PARTICIPAÇÕES S/A;23728
NAOMI PARTICIPAÇÕES S.A.;22667
TRONOX PIGMENTOS DO BRASIL S.A.;11398
SMILES S.A.;23140
AR CAPITAL SECURITIES COMPANHIA SECURITIZADORA S.A.;22950
CIMENTO TUPI S.A.;22829
JPSP INVESTIMENTOS E PARTICIPAÇÕES S/A;12262
BICICLETAS MONARK S.A.;1694
DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS S.A;24414
INNCORP S.A.;17558
ANDRADE GUTIERREZ CONCESSOES S.A.;19437
BANCO SANTANDER S.A.;80160
MAGNESITA REFRATARIOS S.A.;20842
COSAN LIMITED;80071
CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;22144
DUFRY A.G.;80110
CONSTRUTORA LIX DA CUNHA S.A.;4774
MULTILASER INDUSTRIAL S.A.;902123
FIBRIA CELULOSE S.A.;12793
CREMER SA;20141
SPRINGER S.A.;10960
KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;15083
LITEL PARTICIPACOES S.A.;15091
SOMOS EDUCAÇÃO S.A.;22551
MMX MINERACAO E METALICOS S.A. - EM RECUPERAÇÃO JUDICIAL;17914
ANDRADE GUTIERREZ PARTICIPACOES S.A.;19062
LOCAMÉRICA RENT-A-CAR S.A.;21555
TARPON INVESTIMENTOS S.A.;21717
ALIANSCE SHOPPING CENTERS S.A.;21300
MAESTRO LOCADORA DE VEICULOS S.A.;23612
BCO PATAGONIA S.A.;80063
ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;21725
BR HOME CENTERS S.A.;23710
MASSA FALIDA DA BRASIL PHARMA S.A.;22500
MGI - MINAS GERAIS PARTICIPAÇÕES S.A.;22942
TEC TOY S.A.;14133
ITAUTEC S.A. - GRUPO ITAUTEC;12530
NADIR FIGUEIREDO IND E COM S.A.;9040
CIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELETRICA - CEEE-T;3204
