DENOM_CIA;CD_CVM
ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;26069
LG INFORMÁTICA S.A.;25666
UNIFIQUE TELECOMUNICAÇÕES S.A.;26050
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;19232
TIM S.A.;24929
PETRORECÔNCAVO S.A.;25780
AMMO VAREJO S.A.;26476
CLEAR SALE S.A.;26093
BIONEXO S.A.;25925
UNIGEL PARTICIPAÇÕES S.A.;26301
INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;26387
LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;25895
DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;26557
ESSENTIA PCHS S.A.;26158
DESKTOP S.A.;26026
CERRADINHO BIOENERGIA S.A.;26522
GSH CORP PARTICIPAÇÕES S.A.;26603
GUARARAPES PAINÉIS S.A.;26115
GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;25712
YUNY INCORPORADORA HOLDING S.A.;25976
ASA BRANCA HOLDING S.A.;26514
ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;26271
GETNET ADQ E SERV PARA MEIOS DE PAGTO S.A. - INST PAGTO;26140
BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;25860
BOA VISTA SERVIÇOS S.A.;25135
ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;26123
CM HOSPITALAR S.A;25682
KORA SAÚDE PARTICIPAÇÕES S.A.;25879
RIVA INCORPORADORA S.A;24996
MADERO INDÚSTRIA E COMÉRCIO S.A.;26379
HOSPITAL MATER DEI S.A.;25690
FULWOOD S.A.;26336
DOTZ S.A.;25836
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;25089
HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.;25933
HOLDING DO ARAGUAIA S.A.;26565
EMCCAMP RESIDENCIAL S.A.;25909
BRISANET PARTICIPAÇÕES S.A.;26085
TROCAFONE S.A.;26573
OLIVEIRA TRUST S.A.;26417
SELF IT ACADEMIAS HOLDING S.A.;26794
HOLDING VERZANI E SANDRINI S.A.;26689
NU HOLDINGS LTD.;80209
BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A.;26204
HOSPITAL CARE CALEDONIA S.A.;25771
COMERC ENERGIA S.A.;26280
TC S.A.;26077
AUREN ENERGIA S.A.;26620
TEGRA INCORPORADORA S.A.;25844
BANCO MODAL S.A.;25755
ATHENA SAÚDE BRASIL SA;25810
VERO S.A.;26409
ENTALPIA PARTICIPAÇÕES S.A.;26131
WILSON SONS S.A.;26247
AES BRASIL ENERGIA S.A.;25640
MONTE RODOVIAS S.A.;26328
RIO ENERGY PARTICIPAÇÕES S.A.;26298
RIO ALTO ENERGIAS RENOVÁVEIS S.A.;25720
INFRACOMMERCE CXAAS S.A.;25747
CENCOSUD BRASIL COMERCIAL S.A.;26530
TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.;26000
RODOVIAS DO BRASIL HOLDING S.A.;26352
LUPO S.A.;26506
GRUPO MULTI S.A.;26034
RODOBENS SA;25801
EUROFARMA LABORATÓRIOS S.A.;26700
COMPANHIA BRASILEIRA DE ALUMÍNIO;25984
INTERCEMENT BRASIL S.A.;25992
CLARANET TECHNOLOGY S.A.;26549
ALMEIDA JUNIOR SHOPPING CENTERS S.A.;26395
TIGRE S.A. PARTICIPAÇÕES;26255
CONSERVAS ODERICH S.A.;4693
BCO BRASIL S.A.;1023
BRB BANCO DE BRASILIA S.A.;14206
AES BRASIL OPERAÇÕES S.A.;26174
BANCO INTER S.A.;24406
ELETRORIVER S.A.;26891
V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;27022
CEL PARTICIPAÇÕES S.A. - CELPAR;16675
YBYRÁ CAPITAL S.A.;16705
INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;17868
HOSPITAL ANCHIETA S.A.;26468
TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;27090
ORIZON MEIO AMBIENTE S.A.;27049
EMPREENDIMENTOS PAGUE MENOS S.A.;22608
FOZ DO RIO CLARO ENERGIA S.A.;26697
REAG INVESTIMENTOS S.A.;26964
BOA SAFRA SEMENTES S.A.;25704
SAFIRA HOLDING S.A.;27138
XP INVESTIMENTOS S.A.;27111
BCO MERCANTIL DO BRASIL S.A.;1325
TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.;26760
CHINA THREE GORGES BRASIL ENERGIA S.A.;27103
VITRU BRASIL EMPREENDIMENTOS, PARTICIPAÇÕES E COMÉRCIO S.A.;27057
CREDGRID SERVIÇOS FINANCEIROS S.A.;26972
ALMACENES ÉXITO S.A.;80225
BANESTES S.A. - BCO EST ESPIRITO SANTO;1155
OCEÂNICA ENGENHARIA E CONSULTORIA S.A.;26956
ANEMUS WIND HOLDING S.A.;26832
AMAZONE FUN PARKS S.A.;26930
COMPANHIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G;27154
HMOBI PARTICIPAÇÕES S.A.;25674
SOLVI ESSENCIS AMBIENTAL S.A.;27073
RIO ALTO STL HOLDING I S.A.;27006
SOLAR BEBIDAS S.A.;27014
CANTU STORE S.A.;26646
SERENA ENERGIA S.A.;26441
INTER & CO, INC.;80217
BCO PAN S.A.;21199
UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S.A.;26867
BCO BRADESCO S.A.;906
BCO DAYCOVAL S.A.;20796
SENIOR SISTEMAS S.A.;26786
BORRACHAS VIPAL S.A.;26980
BCO ESTADO DO RIO GRANDE DO SUL S.A.;1210
TRÊS TENTOS AGROINDUSTRIAL S/A;25950
LETS RENT A CAR S/A;27383
VOTORANTIM CIMENTOS S.A.;27189
BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;27391
AGASUS S.A.;27324
LIGGA TELECOMUNICAÇÕES S.A.;27367
ALUBAR METAIS E CABOS S.A.;27430
BRASIL BIOFUELS S.A.;27375
GETNINJAS S.A.;25887
CORREDOR LOGÍSTICA E INFRAESTRUTURA S.A.;27260
FINANCEIRA ALFA S.A.- CRED FINANC E INVS;3891
CONSTRUTORA METROCASA S.A.;27340
ORIGEM ENERGIA S.A.;27227
HÉLIO VALGAS SOLAR PARTICIPAÇÕES S.A.;27332
INSPIRALI EDUCAÇÃO S.A.;27251
AUTOMOB S.A.;27413
CLI SUL S.A.;27243
UNIDAS LOCADORA S.A.;27162
BCO ALFA DE INVESTIMENTO S.A.;1384
GRANJA FARIA S.A.;27219
CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;27472
CSU DIGITAL S.A.;20044
CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;27480
VITAL ENGENHARIA AMBIENTAL S.A.;27510
GIGA MAIS FIBRA TELECOMUNICAÇÕES S.A.;27502
TURBI COMPARTILHAMENTO DE VEÍCULOS S.A.;27197
BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.;27499
DESCARBONIZE SOLUÇÕES S.A.;27278
