DENOM_CIA;CD_CVM
CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;21709
RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;21636
CIA CELG DE PARTICIPACOES - CELGPAR;21393
REP REAL ESTATE PARTNERS DESENV IMOB SA;21539
NEXPE PARTICIPAÇÕES S.A;21180
ALLIS PARTICIPAÇÕES S.A.;20850
MAGNESITA REFRATARIOS S.A.;20842
BHG S.A. - BRAZIL HOSPITALITY GROUP;20907
PRUMO LOGISTICA SA;21482
GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;21008
SYN PROP & TECH S.A.;21040
YDUQS PARTICIPACOES S.A.;21016
TRISUL S.A.;21130
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;21903
COSAN LIMITED;80071
LAEP INVESTMENTS LTD;80098
MULTINER S/A;21520
INTERNATIONAL MEAL COMPANY HOLDINGS S/A;22438
AGRENCO LIMITED;80080
INBRANDS S.A.;22560
OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;21342
OMEGA ENERGIA RENOVÁVEL S/A;22110
TECHNOS S.A.;22519
FAE ADM. E PARTICIPAÇÕES SA;21660
B3 S.A. - BRASIL, BOLSA, BALCÃO;21610
CETIP S.A. - BALCÃO ORGANIZADO DE ATIVOS E DERIVATIVOS;21792
BERNA PARTICIPAÇÕES SA;21563
ÁQUILLA SECURITIZADORA S.A.;21512
AGV HOLDING S/A;21806
CTX PARTICIPAÇÕES S/A;21652
COMPANHIA DE LOCAÇÃO DAS AMÉRICAS;22691
CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;22144
PRIO S.A.;22187
CENTENNIAL ASSET PARTICIPAÇÕES SUDESTE S/A;21776
MASSA FALIDA DA BRASIL PHARMA S.A.;22500
DUFRY A.G.;80110
TEREOS INTERNACIONAL S/A;22136
SAAG INVESTIMENTOS S.A.;22756
ENAUTA PARTICIPAÇÕES S.A.;22365
